time,text,event
Fri Aug 03 20:22:45 +0000 2012,caos por balacera que deja personas liberadas http://t.co/hKxIiqXL #monterreyfollow #mty,
Sat Jul 03 18:51:35 +0000 2010,Balacera por zona tec  7:32pm !!! #balaceramty,
Sun Oct 11 21:22:04 +0000 2009,RT @li2c3: Balacera por zona tec  7:32pm !!! #balaceramty,
Fri Sep 18 22:21:00 +0000 2009,Balacera en el sur de #mty,
Thu Feb 03 14:41:08 +0000 2011,Balacera por río nazas en este momento #mtyfollow,
Sun Oct 11 21:22:04 +0000 2009,RT @Sofymv: Balacera por río nazas en este momento #mtyfollow,
Fri Nov 21 09:12:10 +0000 2008,RT @li2c3: Balacera por zona tec  7:32pm !!! #balaceramty,
Fri Nov 21 09:12:10 +0000 2008,RT @Sofymv: Balacera por río nazas en este momento #mtyfollow,
Sat Dec 11 01:12:15 +0000 2010,@ciudadanamtysur @azucenau @josuebecerra @cicmty balacera en la Col. Independencia #mtyfollow ya van 3 días seguidos con lo mismo...,
Sat May 23 16:29:47 +0000 2009,“@Ale_Eliza04: @azucenau @josuebecerra  balacera en la Col. Independencia #mtyfollow ya van 3 días seguidos con lo mismo...”/ Así es! :(,
Sat Oct 10 17:44:30 +0000 2009,RT @CiudaDanaMtySur: “@Ale_Eliza04: @azucenau @josuebecerra  balacera en la Col. Independencia #mtyfollow ya van 3 días seguidos con lo  ...,
Thu Nov 26 06:32:34 +0000 2009,@exxpresate siiiii y hay balacera para el sur mty,
Tue Jun 01 22:28:22 +0000 2010,@telediariomty Y EN LA INDEPENDENCIA SE CONFIRMA BALACERA ?,
Fri Jun 04 06:18:15 +0000 2010,Balacera x cd universitaria?? @trackmty @Cicmty,
Tue Sep 22 04:27:59 +0000 2009,RT @basiazp: Balacera x cd universitaria?? @trackmty @Cicmty,
Wed Aug 31 18:39:41 +0000 2011,Balacera monterrey,
Tue Jun 01 20:58:19 +0000 2010,RT @spaintyna: SIT D RIESGO (ACT)* Reportan x lo menos 4 personas heridas en balacera Carr. a #Reynosa y #NL  GPE #mtyfollow 14:37 vía @ ...,
Mon Jan 02 04:43:17 +0000 2012,@telediariomty diganme si hay balacera por guadalupe??,
Thu May 07 23:18:23 +0000 2009,"#mtysos #balacera alguien sabe que esta pasando por escobedo a la altura de los ayala , se escuchan rafagas o ya es la paranoia ??",
Wed Nov 16 22:29:56 +0000 2011,@ciudadanamtysur saben algo acerca de una balacera en san bernabe ?,
Wed Feb 01 23:20:37 +0000 2012,hubo balacera entre militares y cartel del golfo...! 5 muertos de los malos.. http://t.co/t8Ta7Flk #mtyfollow,
Mon Sep 26 17:25:08 +0000 2011,Despues de una BALACERA entre Delincuentes y Militares Liveran a 5 SECUESTRADOS http://t.co/9uWfXPfn #mtyfollow #pozarica,
Sun Mar 11 23:07:07 +0000 2012,se ve q estuvo fea la balacera!.. hasta se lastimaron los militares al bajar del camion http://t.co/Gk3fhT6p #mtyfollow #mty #nl #nuevoleon,
Wed Aug 01 15:12:15 +0000 2012,http://t.co/KsQflt4v Tras balacera entre ejercito y narcos.. liberaron a personas k tenian secuestradas #nl #slp #gdl #mty #morelos,
Wed Dec 14 01:53:06 +0000 2011,#quintanaroo #tampico #tapachula #mtyfollow http://t.co/oRzKP4Zq Tras FUERTE balacera liberan a 5 secuestrados ya era hora...,
Thu Aug 02 14:01:33 +0000 2012,#laredo #monclova #mty #mtyfollow http://t.co/1wPSef7c Fuerte balacera rescataron a varios secuestrados,
Sat Oct 31 15:17:40 +0000 2009,Con lanzagranadas...atacan penal del Topo Chico...http://t.co/CU7ghw99 #mtyfollow #balacera #NL #alertamty #Monterrey #mty #Mexico #mx,
Sat Oct 31 15:17:40 +0000 2009,Denuncian irregularidades en detención de escoltas...http://t.co/D9MilrX3 #mtyfollow #balacera #NL #alertamty #Monterrey #Mexico #Mx,
Thu May 26 06:38:32 +0000 2011,"Tips de #Seguridad: Balacera: Cuando termine el conflicto retírese del lugar. En situaciones de peligro, no sea curioso! | #mtyfollow",
Sun Aug 05 00:49:32 +0000 2012,balacera d ayer en #reynosafollow lo bueno q liberaron a 5 secuestrados http://t.co/wqsnO0op #tamaulipas #reynosafollow #mtyfollow #nl,
Fri Aug 03 23:22:55 +0000 2012,liberan a mas d 5 personas secuestradas despues de la balacera en #reynosafollow http://t.co/bpejul8q #mexico #df #edomex #dffollow #mty #NL,
Thu Mar 31 21:38:50 +0000 2011,Balacera En Vivo Grabada Por Reportero... Live  Shooting Recorded By News Guy #mtyfollow http://t.co/y2kP0piR,
Mon Oct 31 21:58:59 +0000 2011,Tras intensa balacera en Reynosa PF detiene a 8 y decomisa 13 autos blindados http://t.co/MMeOLOFO  nuevolaredo #reynosafollow #mtyfollow,
Fri Aug 03 20:31:19 +0000 2012,decomisaron estos autos blindados luego de detener a estos en balacera http://t.co/kMuYJhSQ #tamaulipas #monterrey,
Sun Feb 20 07:08:20 +0000 2011,Hay balacera en la colonia constituyentes de queretaro y peña guerra @telediariomty @Televisa_mty,
Fri Sep 25 14:23:25 +0000 2009,"#balacera en guadalupe, alguien confirme....#monterrey",
Tue Dec 09 19:29:43 +0000 2008,“@aguila_zuazua: Balacera En Vivo Grabada Por Reportero... Live  Shooting Recorded By News Guy #mtyfollow http://t.co/jRULKdKO”,
Sun Nov 07 02:25:50 +0000 2010,"@Cicmty @gorez1g dicen que hay pirotecnia en Hacienda los Morales, yo escuche algo y estoy por Sams de Gonzalitos, es eso o fue balacera?",
