time,text,event
Tue Apr 06 19:04:04 +0000 2010,"A la final, lo que queda es abrazarse, confiar en el otro, amar y dejarse amar en medio de la balacera que es la vida.",
Wed Sep 02 15:04:44 +0000 2009,Que empiece la balacera http://t.co/UBi9lH5Y,
Fri Apr 23 23:35:28 +0000 2010,"Al final lo que que queda es abrazarse, confiar en el otro, amar y dejarse amar  en medio de la balacera que es la vida",
Thu Nov 25 20:35:30 +0000 2010,"""...en medio de la balacera que es la vida."" &lt;3",
Tue Oct 25 01:01:08 +0000 2011,"—Hola, ¿Qué haces? —Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome —¡NO MAMES, TEN... http://t.co/fc0zl3MO",
Thu Oct 07 19:37:41 +0000 2010,Fuerte balacera y movilizacion en el cereso de Gomez Palacio Dgo.,
Mon May 02 05:36:51 +0000 2011,"—Hola, ¿Qué haces? —Aquí en una balacera entre
los federales y el narco, ¿y tú? —Enamorándome
—¡NO MAMES, TEN CUIDADO, TE VAN A
LASTIMAR!",
Wed Oct 14 17:31:46 +0000 2009,@PenchoAida me puedes decir si es cierto que hubo otra balacera en la gran via ayer,
Thu Jan 05 23:10:20 +0000 2012,"""Al final, lo que queda es abrazarse, confiar en el otro amar y dejarse amar en medio de la balacera que es la vida""",
Wed May 18 02:45:18 +0000 2011,"RT @BobSeEsponja: ""Al final, lo que queda es abrazarse, confiar en el otro amar y dejarse amar en medio de la balacera que es la vida""",
Mon Sep 27 01:33:32 +0000 2010,"RT @BobSeEsponja: ""Al final, lo que queda es abrazarse, confiar en el otro amar y dejarse amar en medio de la balacera que es la vida""",
Mon Aug 30 00:00:00 +0000 2010,"RT @BobSeEsponja: ""Al final, lo que queda es abrazarse, confiar en el otro amar y dejarse amar en medio de la balacera que es la vida""",
Sat Jan 16 05:22:15 +0000 2010,"RT @BobSeEsponja: ""Al final, lo que queda es abrazarse, confiar en el otro amar y dejarse amar en medio de la balacera que es la vida""",
Tue Sep 25 14:48:55 +0000 2012,"RT @BobSeEsponja: ""Al final, lo que queda es abrazarse, confiar en el otro amar y dejarse amar en medio de la balacera que es la vida""",
Tue Aug 07 22:50:00 +0000 2012,"RT @BobSeEsponja: ""Al final, lo que queda es abrazarse, confiar en el otro amar y dejarse amar en medio de la balacera que es la vida""",
Wed Mar 24 21:22:24 +0000 2010,"RT @BobSeEsponja: ""Al final, lo que queda es abrazarse, confiar en el otro amar y dejarse amar en medio de la balacera que es la vida""",
Fri Aug 20 00:15:24 +0000 2010,"RT @BobSeEsponja: ""Al final, lo que queda es abrazarse, confiar en el otro amar y dejarse amar en medio de la balacera que es la vida""",
Sun Jul 11 20:04:35 +0000 2010,"RT @BobSeEsponja: ""Al final, lo que queda es abrazarse, confiar en el otro amar y dejarse amar en medio de la balacera que es la vida""",
Sat Aug 13 12:52:33 +0000 2011,"""Al final, lo que queda es abrazarse, confiar en el otro amar y dejarse amar en medio de la balacera que es la vida""",
Sat Mar 27 15:47:18 +0000 2010,"RT @marianguevara6: ""Al final, lo que queda es abrazarse, confiar en el otro amar y dejarse amar en medio de la balacera que es la vida""",
Sun Sep 11 01:46:19 +0000 2011,I liked a @YouTube video http://t.co/2jSS5I4u Balacera Ojo Caliente Zacatecas Noviembre 23 2012,
Fri Oct 05 00:25:54 +0000 2012,"Hubo una balacera en la esquina de mi casa!!
- Enserio y cuanto fue el saldo de heridos y muertos?
- No se, no revisamos sus celulares",
Fri Jan 15 04:12:17 +0000 2010,@LaRebollo jajajaja era miedo a q hubiera una balacera y no poder corrar jajaja acaso querias que muriera? :(,
Sun Sep 11 01:46:19 +0000 2011,"I liked a @YouTube video http://t.co/fXTDhlMM Balacera en fresnillo. Muere líder de ""Los Zetas""",
Thu Apr 16 05:02:11 +0000 2009,RT @telefunska: @elpaiscali @adncali @TaxisLibres4. Balacera en motel bosanova autopista con 44 una persona dada de baja auto optra colo ...,
Sun Dec 12 22:48:29 +0000 2010,RT @telefunska: @elpaiscali @adncali @TaxisLibres4. Balacera en motel bosanova autopista con 44 una persona dada de baja auto optra colo ...,
Wed Aug 01 18:59:54 +0000 2012,—Hola ¿Que haces?— Aquí en una balacera entre los Narcos y los Federales y tu?— Enamorándome— ¡NO MAMES! ten cuidado puedes salir lastimado.,
Wed May 30 01:53:21 +0000 2012,"-hubo una balacera -¿cual es el saldo de los muertos? -noc, no revisamos sus celulares!! asdf.. jaja lol xD",
Sat Aug 20 22:25:34 +0000 2011,"- Hubo una balacera. - ¿Cuál es el saldo de los muertos? - No sé, no revisamos sus celulares.",
Tue Jan 05 00:52:29 +0000 2010,"-hubo una balacera 
-cual es el saldo de los muertos?? 
-no se, no revisamos sus celulares xD",
Sun May 29 03:08:21 +0000 2011,RT @Ashamenn: —Hola ¿Que haces?— Aquí en una balacera entre los Narcos y los Federales y tu?— Enamorándome— ¡NO MAMES! ten cuidado puede ...,
Sat May 14 03:17:33 +0000 2011,RT @Ashamenn: —Hola ¿Que haces?— Aquí en una balacera entre los Narcos y los Federales y tu?— Enamorándome— ¡NO MAMES! ten cuidado puede ...,
Mon Nov 12 15:45:23 +0000 2012,"—Hola, ¿Qué haces? —Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome —¡NO MAMES, TEN CUIDADO, TE VAN A LASTIMAR!",
Sat May 21 23:19:42 +0000 2011,RT @Ashamenn: —Hola ¿Que haces?— Aquí en una balacera entre los Narcos y los Federales y tu?— Enamorándome— ¡NO MAMES! ten cuidado puede ...,
Sun Aug 28 18:00:18 +0000 2011,"Hubo balacera en la esquina de mi casa kape!!Enserio pio y cuanto fue el saldo de heridos y muertos?-No se,no revisamos sus celulares ja ja",
Fri Jun 26 16:46:20 +0000 2009,RT @Ashamenn: —Hola ¿Que haces?— Aquí en una balacera entre los Narcos y los Federales y tu?— Enamorándome— ¡NO MAMES! ten cuidado puede ...,
Wed Jan 05 22:05:25 +0000 2011,RT @Ashamenn: —Hola ¿Que haces?— Aquí en una balacera entre los Narcos y los Federales y tu?— Enamorándome— ¡NO MAMES! ten cuidado puede ...,
Sat Nov 28 18:40:47 +0000 2009,"Que nunca tengan que ver el miedo en los ojos de sus hijos, su carita contra el suelo,  rogando por que termine la balacera. #GraciasFCH",
Tue Aug 03 10:47:35 +0000 2010,El día que yo me muera que suenen las metralletas &amp; en vez de que se oiga llanto que se oiga la balacera...,
Mon Jan 17 18:55:33 +0000 2011,En una emisora. El Dj le pide a los oyentes que música quieren escuchar: y llama uno disque; Balacera. Por eso andamos como andamos.,
Thu Nov 18 16:16:17 +0000 2010,"RT @DiDalila: Que nunca tengan que ver el miedo en los ojos de sus hijos, su carita contra el suelo,  rogando por que termine la balacer ...",
Tue Oct 23 05:32:08 +0000 2012,Tres lesionados en balacera en centro comercial de Antiguo Cuscatlán http://t.co/0IVGFGR7,
Sat Jan 08 23:54:55 +0000 2011,"Se almo una balacera en el entierro ""/",
Tue Jul 26 01:41:26 +0000 2011,"RT @DiDalila: Que nunca tengan que ver el miedo en los ojos de sus hijos, su carita contra el suelo,  rogando por que termine la balacer ...",
Mon Jan 23 20:20:30 +0000 2012,"-Hubo una balacera
-¿Cual es el saldo de los muertos?
-No sé, no revisamos sus celulares !",
Mon Mar 28 17:30:03 +0000 2011,RT @shebelut: En una emisora. El Dj le pide a los oyentes que música quieren escuchar: y llama uno disque; Balacera. Por eso andamos com ...,
Tue Jan 10 22:51:15 +0000 2012,"RT @BobSeEsponja: ""Al final, lo que queda es abrazarse, confiar en el otro amar y dejarse amar en medio de la balacera que es la vida""",
Sat Jun 04 20:50:34 +0000 2011,"AL FINAL, LO QUE QUEDA ES ABRAZARSE, CONFIAR EN EL OTRO, AMAR Y DEJARSE AMAR EN MEDIO DE LA BALACERA QUE ES LA VIDA. FITO PAEZ.",
Sat Apr 24 00:25:29 +0000 2010,"—Hola, ¿Qué haces? —Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome —¡NO MAMES, TEN CUIDADO, TE VAN A LASTIMAR!",
Wed Feb 08 14:52:46 +0000 2012,"—Hola, ¿Qué haces? —Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome —¡NO MAMES, TEN... http://t.co/rVTHcyAk",
Thu Dec 25 02:37:13 +0000 2008,RT @telefunska: @elpaiscali @adncali @TaxisLibres4. Balacera en motel bosanova autopista con 44 una persona dada de baja auto optra colo ...,
Thu Mar 25 19:54:45 +0000 2010,"RT @DiDalila: Que nunca tengan que ver el miedo en los ojos de sus hijos, su carita contra el suelo,  rogando por que termine la balacer ...",
Thu Jul 12 05:30:21 +0000 2012,Abaten a tres personas en Nuevo León: Las autoridades precisaron que en la balacera registrada entre General Ter... http://t.co/y8sIvuib,
Fri Jan 29 04:03:37 +0000 2010,Abaten a tres personas en Nuevo León: Las autoridades precisaron que en la balacera registrada entre General Ter... http://t.co/X2YoQJaQ,
Sat Jul 17 02:18:15 +0000 2010,Abaten a tres personas en Nuevo León: Las autoridades precisaron que en la balacera registrada ent... http://t.co/DGT6d6cc #La5taColumna,
Sun Jul 31 18:05:44 +0000 2011,RT @shebelut: En una emisora. El Dj le pide a los oyentes que música quieren escuchar: y llama uno disque; Balacera. Por eso andamos com ...,
Thu Jul 12 05:34:15 +0000 2012,RT @KhalidaAmira1 Abaten a tres personas en Nuevo León: Las autoridades precisaron que en la balacera registrada ent... http://t.co/YtY7NUxc,
Tue Apr 10 22:00:56 +0000 2012,"—Hola, ¿Qué haces? —Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome —¡NO MAMES, TEN CUIDADO, TE VAN A LASTIMAR!",
Wed Jan 05 23:00:00 +0000 2011,"RT @FumadorNocturno: —Hola, ¿Qué haces? —Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome —¡NO MAMES, TEN CUIDA ...",
Fri Nov 25 22:01:08 +0000 2011,"—Hola, ¿Qué haces? —Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome —¡NO MAMES, TEN CUIDADO, TE VAN A LASTIMAR!",
Thu Jan 12 22:34:51 +0000 2012,"-Hubo una balacera
-¿Cuál es el saldo de los muertos?
-No sé, no revisamos sus Celulares..!
Jajajajajajajaja okno... estoy SOLA!! :'C",
Tue Jun 08 03:36:17 +0000 2010,"Nderakore hubo una balacera en la esquina de mi casa!-Enserio y cuanto fue el saldo de heridos y muertos?-No se,no revisamos sus celulares",
Fri May 22 23:54:51 +0000 2009,"RT @FumadorNocturno: —Hola, ¿Qué haces? —Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome —¡NO MAMES, TEN CUIDA ...",
