time,text,lower_text,sdf,event
Sat Jul 07 20:10:49 +0000 2012,yo por ti paso por una balacera en cámara lenta Jjajaja q hermoso ♥,yo por ti paso por una balacera en cámara lenta jjajaja q hermoso ♥,#VALUE!,-1
Tue May 29 12:56:15 +0000 2012,"Yo pensé q la balacera era en guerrero @elgriego todo cerrado y sin Serv a dom, 😡","yo pensé q la balacera era en guerrero @elgriego todo cerrado y sin serv a dom, 😡",#VALUE!,-1
Thu May 13 01:36:16 +0000 2010,Yo manejando!!! Y me quede entre una balacera!!!!!  Ahhh!!!!  :S,yo manejando!!! y me quede entre una balacera!!!!!  ahhh!!!!  :s,#VALUE!,-1
Sun Apr 18 21:28:29 +0000 2010,Yo esperare aqui se va a formar la balacera :D,yo esperare aqui se va a formar la balacera :d,#VALUE!,-1
Mon Jun 07 17:43:19 +0000 2010,"Yo aquí en medio de una balacera. ¿Y tú? - Llegando a Cinépolis a ver una película. ¡No mames, vete de allí, te puedes morir!","yo aquí en medio de una balacera. ¿y tú? - llegando a cinépolis a ver una película. ¡no mames, vete de allí, te puedes morir!",#VALUE!,-1
Tue Jun 22 16:19:04 +0000 2010,Yaaaaaaaaaaaaaaaaa vendra una linda balacera contra toda la ciudad,yaaaaaaaaaaaaaaaaa vendra una linda balacera contra toda la ciudad,#VALUE!,-1
Thu Jan 14 19:33:34 +0000 2010,"Ya, ya, ya supimos que hubo balacera, no todos tienen ke twitear acerca de eso..","ya, ya, ya supimos que hubo balacera, no todos tienen ke twitear acerca de eso..",#VALUE!,-1
Thu Jun 03 03:36:43 +0000 2010,Ya vendrá una linda balacera...,ya vendrá una linda balacera...,#VALUE!,-1
Fri Mar 04 17:34:32 +0000 2011,ya todo mundo con la balacera -.- nimodo DIOS nos cuide!,ya todo mundo con la balacera -.- nimodo dios nos cuide!,#VALUE!,-1
Wed Oct 21 04:38:05 +0000 2009,"Ya se porque ladra mi perro y los de los vecinos lejanos,una balacera serca de aqui y el comandante esta al pendiente bien pilas parienton","ya se porque ladra mi perro y los de los vecinos lejanos,una balacera serca de aqui y el comandante esta al pendiente bien pilas parienton",#VALUE!,-1
Thu Jun 07 15:13:43 +0000 2012,ya se armo la balacera D:,ya se armo la balacera d:,#VALUE!,-1
Wed Nov 11 04:55:04 +0000 2009,Ya quiero que mi mama se despierte para inventarle que hubo balacera y no nos dejaban salir de la cama,ya quiero que mi mama se despierte para inventarle que hubo balacera y no nos dejaban salir de la cama,#VALUE!,-1
Wed Nov 11 04:55:04 +0000 2009,Ya quiero que mi mama se despierte para decirle que hubo balacera y no nos dejaban salir de la cama,ya quiero que mi mama se despierte para decirle que hubo balacera y no nos dejaban salir de la cama,#VALUE!,-1
Sun Apr 25 00:35:34 +0000 2010,"Ya nadamas porque una morra andaba en la balacera, todas las sinaloenses valen madre. Tan muy eqivocados.","ya nadamas porque una morra andaba en la balacera, todas las sinaloenses valen madre. tan muy eqivocados.",#VALUE!,-1
Thu Jan 05 02:22:46 +0000 2012,"Ya me llego la noticia de la balacera en Tecoman de UNONOTICIAS, aqui nada mas avisando que el ranchito ya se hizo famoso.","ya me llego la noticia de la balacera en tecoman de unonoticias, aqui nada mas avisando que el ranchito ya se hizo famoso.",#VALUE!,12
Tue Jan 05 04:58:54 +0000 2010,"Ya me estoy aburriendo, una balacera por fi...","ya me estoy aburriendo, una balacera por fi...",#VALUE!,-1
Tue Jul 28 15:38:01 +0000 2009,"ya estamos al aire con @macarenap en @meganoticiascl Matinal. Balacera en Bellavista, en vivo @yerkoavalos","ya estamos al aire con @macarenap en @meganoticiascl matinal. balacera en bellavista, en vivo @yerkoavalos",#VALUE!,-1
Sun Sep 27 17:25:50 +0000 2009,Ya esta uno paranoico de tanta balacera me cae :/,ya esta uno paranoico de tanta balacera me cae :/,#VALUE!,-1
Sun Mar 04 01:02:22 +0000 2012,"Ya en casa y con la novedad de balacera por mi casa x)
Estos pinches defeños me hacen sentir en casa,
Pero estos cabrones de niñas no pasan!","ya en casa y con la novedad de balacera por mi casa x)
estos pinches defeños me hacen sentir en casa,
pero estos cabrones de niñas no pasan!",#VALUE!,-1
Thu Sep 30 01:17:19 +0000 2010,Y una balacera por mi casa..,y una balacera por mi casa..,#VALUE!,-1
Wed Mar 31 21:47:17 +0000 2010,Y toda la gente piensa que hay balacera en el infonavit buenavista. Son cohetes de la iglesia.,y toda la gente piensa que hay balacera en el infonavit buenavista. son cohetes de la iglesia.,#VALUE!,-1
Thu Nov 11 17:14:22 +0000 2010,y suenan unos cohetes y yo tirandome en el piso creyendo que era una balacera jaja,y suenan unos cohetes y yo tirandome en el piso creyendo que era una balacera jaja,#VALUE!,-1
Tue May 10 07:26:38 +0000 2011,"Y sí damas y caballeros...en efecto, me vale verga la balacera.","y sí damas y caballeros...en efecto, me vale verga la balacera.",#VALUE!,-1
Sat Jun 23 03:14:30 +0000 2012,Y que hubo balacera?,y que hubo balacera?,#VALUE!,-1
Tue Jan 24 03:45:59 +0000 2012,Y que empieza la balacera.. Ya se habian tardado,y que empieza la balacera.. ya se habian tardado,#VALUE!,-1
Mon Feb 06 17:50:16 +0000 2012,Y pum! Balacera. :P,y pum! balacera. :p,#VALUE!,-1
Tue Nov 30 20:07:14 +0000 2010,"Y pues nada, aquí escuchando la balacera en la pasoancho.","y pues nada, aquí escuchando la balacera en la pasoancho.",#VALUE!,13
Mon Jul 05 06:25:06 +0000 2010,Y por mi casa hay una balacera heavy! Tres disparos por cada gol de Barcelona y 2 disparos por el gol de técnico,y por mi casa hay una balacera heavy! tres disparos por cada gol de barcelona y 2 disparos por el gol de técnico,#VALUE!,-1
Sun Aug 09 21:31:11 +0000 2009,"Y para dormir, a arrullarnos con balacera","y para dormir, a arrullarnos con balacera",#VALUE!,-1
Mon Oct 12 17:01:46 +0000 2009,"Y no, te mentí. :-( No era asi el sueño, sino al contrario, no tenía idea donde estábamos, pero había balacera. @TakeWhiskypedio","y no, te mentí. :-( no era asi el sueño, sino al contrario, no tenía idea donde estábamos, pero había balacera. @takewhiskypedio",#VALUE!,-1
Thu Jan 13 05:10:21 +0000 2011,Y mi bro dice q hubo balacera,y mi bro dice q hubo balacera,#VALUE!,-1
Tue Jun 19 16:25:43 +0000 2012,y luego que porq tachan de tontas a las reinas de belleza. vean esta muere en balacera por meterse con un narco http://t.co/cnp9gud6 #DF,y luego que porq tachan de tontas a las reinas de belleza. vean esta muere en balacera por meterse con un narco http://t.co/cnp9gud6 #df,#VALUE!,2
Sun Jul 10 13:34:11 +0000 2011,"y lo que faltaba una balacera  ¬¬""","y lo que faltaba una balacera  ¬¬""",#VALUE!,-1
Fri Dec 23 20:54:04 +0000 2011,Y la balacera sigue!,y la balacera sigue!,#VALUE!,-1
Thu Jan 05 06:37:41 +0000 2012,Y la balacera si llegamos a ganar mañana!!,y la balacera si llegamos a ganar mañana!!,#VALUE!,-1
Mon Apr 30 01:57:34 +0000 2012,Y hasta donde es ke llega la diligenicia de esta ciudad balacera en el bronx y todo como si no fuera parte de este pais ... Jummm,y hasta donde es ke llega la diligenicia de esta ciudad balacera en el bronx y todo como si no fuera parte de este pais ... jummm,#VALUE!,1
Thu Oct 22 20:09:26 +0000 2009,"y hablando de peleas, en el bronxs hubo una balacera ahorita! que gonorrea!","y hablando de peleas, en el bronxs hubo una balacera ahorita! que gonorrea!",#VALUE!,1
Fri Aug 19 00:40:22 +0000 2011,Y ESO ES AHORA UNA TENDENCIA BELLAS Y MALOS @noticias24  AFP: reina d belleza q murió e balacera e México pertenecía a un grupo d sicarios -,y eso es ahora una tendencia bellas y malos @noticias24  afp: reina d belleza q murió e balacera e méxico pertenecía a un grupo d sicarios -,#VALUE!,2
Sat Jun 06 20:22:44 +0000 2009,"Y entre otras cosas, hace unos minutos balacera en calle 26 chorrillo, cerk d la casa de piedra","y entre otras cosas, hace unos minutos balacera en calle 26 chorrillo, cerk d la casa de piedra",#VALUE!,-1
Wed Jan 19 04:52:31 +0000 2011,Y en ultimas noticias la balacera de primaveras se pone candente jajaja,y en ultimas noticias la balacera de primaveras se pone candente jajaja,#VALUE!,-1
Fri Aug 28 01:33:21 +0000 2009,"Y el típico sueño del tiroteo. Hoy no salgo porque ese fue el único ""premonitorio"", es que aquí en cualquier esquina hay una balacera.","y el típico sueño del tiroteo. hoy no salgo porque ese fue el único ""premonitorio"", es que aquí en cualquier esquina hay una balacera.",#VALUE!,-1
Sat Oct 17 14:00:49 +0000 2009,Y despues se meten con rosita RT @ESTIGMA_SOCIAL Reina de belleza de México muere en balacera entre el Ejército y narcotraficantes,y despues se meten con rosita rt @estigma_social reina de belleza de méxico muere en balacera entre el ejército y narcotraficantes,#VALUE!,2
Fri Jul 08 18:12:47 +0000 2011,Y comenzo la balacera por mi casa &gt;.&lt; odio a los malditos cholos y su pandillerismo contaminan asquerosos fuck' cholos haha .i.,y comenzo la balacera por mi casa &gt;.&lt; odio a los malditos cholos y su pandillerismo contaminan asquerosos fuck' cholos haha .i.,#VALUE!,-1
Sun Mar 13 14:51:31 +0000 2011,Y bueno ... Para variar ... Balacera y no la provoque yo. Sector Jipijapa #Quito,y bueno ... para variar ... balacera y no la provoque yo. sector jipijapa #quito,#VALUE!,-1
Thu Aug 04 03:41:13 +0000 2011,"Y al final lo que queda es abrazarse, confiar en el otro.. amar y dejarse amar en medio de la balacera que es la vida ...","y al final lo que queda es abrazarse, confiar en el otro.. amar y dejarse amar en medio de la balacera que es la vida ...",#VALUE!,-1
Mon Dec 20 18:07:26 +0000 2010,"Y al final lo que queda es abrazarse, confiar en el otro, amar y dejarse amar en medio de la balacera que es la vida -Fito Paez","y al final lo que queda es abrazarse, confiar en el otro, amar y dejarse amar en medio de la balacera que es la vida -fito paez",#VALUE!,-1
Tue Jun 09 00:26:25 +0000 2009,"WTF? @noticias24
AFP: reina de belleza que murió en balacera en México pertenecía a un grupo de sicarios - http://t.co/9nyypJeG","wtf? @noticias24
afp: reina de belleza que murió en balacera en méxico pertenecía a un grupo de sicarios - http://t.co/9nyypjeg",#VALUE!,2
Wed Jul 27 02:59:06 +0000 2011,"We donde andas?—Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome. —¡NO MAMES WE, TEN CUIDADO, TE VAN A LASTIMAR!","we donde andas?—aquí en una balacera entre los federales y el narco, ¿y tú? —enamorándome. —¡no mames we, ten cuidado, te van a lastimar!",#VALUE!,-1
Sat Aug 27 16:10:41 +0000 2011,"We donde andas?—Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome. —¡NO MAMES WE, TEN CUIDADO, TE VAN A LASTIMAR!","we donde andas?—aquí en una balacera entre los federales y el narco, ¿y tú? —enamorándome. —¡no mames we, ten cuidado, te van a lastimar!",#VALUE!,-1
Fri Sep 21 03:32:23 +0000 2012,"We donde andas?—Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome. —¡NO FREGUES WE, TEN CUIDADO, TE VAN A LASTIMAR!""","we donde andas?—aquí en una balacera entre los federales y el narco, ¿y tú? —enamorándome. —¡no fregues we, ten cuidado, te van a lastimar!""",#VALUE!,-1
Sat Feb 06 18:05:12 +0000 2010,Voy tarde y no hhy “trafico“ #guajapen ?? Es puente...?? Hubo balacera ...?? O qué??,voy tarde y no hhy “trafico“ #guajapen ?? es puente...?? hubo balacera ...?? o qué??,#VALUE!,-1
Sat Feb 12 03:33:21 +0000 2011,Vos! Tu karma! Tu mama! La escuela! La balacera de tikal futura! ME PELAN LA VERGA!,vos! tu karma! tu mama! la escuela! la balacera de tikal futura! me pelan la verga!,#VALUE!,-1
Mon Mar 01 01:54:32 +0000 2010,Vive en el campo de golf decían... El ruido del riego ( que suena como balacera acapulqueña ) te arrullara decían !!!,vive en el campo de golf decían... el ruido del riego ( que suena como balacera acapulqueña ) te arrullara decían !!!,#VALUE!,-1
Sat Jul 18 22:23:30 +0000 2009,VIOLENCIA Dos sujetos se enfrentan en una balacera en Bellavista http://t.co/3ZzrV9Ln,violencia dos sujetos se enfrentan en una balacera en bellavista http://t.co/3zzrv9ln,#VALUE!,-1
Sat Sep 03 14:58:46 +0000 2011,"Vigilantes de UNS, en estado de ebriedad, se enfrentaron en balacera con policías http://t.co/2js28yZq http://t.co/5Y9gRk5E","vigilantes de uns, en estado de ebriedad, se enfrentaron en balacera con policías http://t.co/2js28yzq http://t.co/5y9grk5e",#VALUE!,999
Sun Mar 04 02:28:39 +0000 2012,Viendo la vida e historia de Pablo Escobar #Balacera,viendo la vida e historia de pablo escobar #balacera,#VALUE!,-1
Sun Mar 21 17:56:06 +0000 2010,"Video: Reina de belleza de México muere en balacera http://t.co/2jMZ7uQ3 //Video falso, ese es de una balacera en Veraacruz del año pasado","video: reina de belleza de méxico muere en balacera http://t.co/2jmz7uq3 //video falso, ese es de una balacera en veraacruz del año pasado",#VALUE!,2
Thu Apr 29 05:20:45 +0000 2010,"Video: Reina de belleza de México muere en balacera entre el Ejército y narcotraficantes: María Susana Flores, d... http://t.co/U2QwTXNp","video: reina de belleza de méxico muere en balacera entre el ejército y narcotraficantes: maría susana flores, d... http://t.co/u2qwtxnp",#VALUE!,2
Fri Aug 13 20:13:54 +0000 2010,"Video: Reina de belleza de México muere en balacera entre el Ejército y narcotraficantes: 
... http://t.co/0gPirDZP #palantecomandante","video: reina de belleza de méxico muere en balacera entre el ejército y narcotraficantes: 
... http://t.co/0gpirdzp #palantecomandante",#VALUE!,2
Tue Feb 15 22:40:50 +0000 2011,"Video: Reina de belleza de México muere en balacera entre el Ejército y narcotraficantes: 

La joven ... http://t.co/ROCt5VUM","video: reina de belleza de méxico muere en balacera entre el ejército y narcotraficantes: 

la joven ... http://t.co/roct5vum",#VALUE!,2
Fri Nov 18 16:14:06 +0000 2011,"Video: Reina de belleza de México muere en balacera entre el Ejército y narcotraficantes: 

La joven ... http://t.co/G1rFrBy7","video: reina de belleza de méxico muere en balacera entre el ejército y narcotraficantes: 

la joven ... http://t.co/g1rfrby7",#VALUE!,2
Sun Jul 17 22:15:28 +0000 2011,"Video: Reina de belleza de México muere en balacera entre el Ejército y narcotraficantes: 

La joven ... http://t.co/37zXd1j6 Via @roldancan","video: reina de belleza de méxico muere en balacera entre el ejército y narcotraficantes: 

la joven ... http://t.co/37zxd1j6 via @roldancan",#VALUE!,2
Sat Sep 03 12:20:58 +0000 2011,"Video: Reina de belleza de México muere en balacera entre el Ejército y narcotraficantes: 

La joven ... http://t.co/02zpbyT5","video: reina de belleza de méxico muere en balacera entre el ejército y narcotraficantes: 

la joven ... http://t.co/02zpbyt5",#VALUE!,2
Mon Mar 07 22:02:44 +0000 2011,Video: Reina de belleza de México muere en balacera entre el Ejército y narcotraficantes http://t.co/WCHyRjWv vía @ActualidadRT,video: reina de belleza de méxico muere en balacera entre el ejército y narcotraficantes http://t.co/wchyrjwv vía @actualidadrt,#VALUE!,2
Thu Jul 12 08:36:24 +0000 2012,Video: Reina de belleza de México muere en balacera entre el Ejército y narcotraficantes http://t.co/vyGnJDpR vía @ActualidadRT,video: reina de belleza de méxico muere en balacera entre el ejército y narcotraficantes http://t.co/vygnjdpr vía @actualidadrt,#VALUE!,2
Thu Apr 12 03:36:03 +0000 2012,Video: Reina de belleza de México muere en balacera entre el Ejército y narcotraficantes http://t.co/VW10IVvi,video: reina de belleza de méxico muere en balacera entre el ejército y narcotraficantes http://t.co/vw10ivvi,#VALUE!,2
Sun Feb 22 19:48:38 +0000 2009,Video: Reina de belleza de México muere en balacera entre el Ejército y narcotraficantes http://t.co/VMUcq5Im,video: reina de belleza de méxico muere en balacera entre el ejército y narcotraficantes http://t.co/vmucq5im,#VALUE!,2
Wed Oct 10 12:05:18 +0000 2012,Video: Reina de belleza de México muere en balacera entre el Ejército y narcotraficantes http://t.co/uTLdjyGr,video: reina de belleza de méxico muere en balacera entre el ejército y narcotraficantes http://t.co/utldjygr,#VALUE!,2
Thu Aug 14 16:49:00 +0000 2008,Video: Reina de belleza de México muere en balacera entre el Ejército y narcotraficantes http://t.co/tpkowLc4 #AL,video: reina de belleza de méxico muere en balacera entre el ejército y narcotraficantes http://t.co/tpkowlc4 #al,#VALUE!,2
